BeginSample
	_SampleName, "Sample4.mss"
	_MethodName, "Multicycle Compression to Displacement Points.msm"
	PercentSetLoad, 0.000,  "N"
	BreakDrop, 50.0,  "%"
	BreakElongation, 2.540,  "mm"
	BreakSensitivity, 90,  "%"
	BreakThreshold, 2.224,  "N"
	CycleSavingFrequency, 1,  ""
	DataAcqRate, 10.0,  "Hz"
	EndPointBreakingAmount, 0.000,  "mm"
	Extension1, 0.000,  "mm"
	Extension2, 38.100,  "mm"
	Extension3, 44.450,  "mm"
	ExtLimitHigh, 508,  "mm"
	ExtLimitLow, -0.25,  "mm"
	GageLength, 25.557,  "mm"
	Header1, "",  ""
	Header2, "",  ""
	Header3, "",  ""
	HoldTime1, 60.000,  "s"
	HoldTime2, 0.000,  "s"
	LoadLimitHigh, 10009,  "N"
	LoadLimitLow, -4448,  "N"
	_MaxSpecimens, 999,  ""
	ModulusExt1, 30.480,  "mm"
	ModulusExt2, 45.720,  "mm"
	NumCycles, 1,  ""
	PerformPreLoad, "1 Yes",  ""
	PreLoad, 10.000,  "N"
	PreLoadSpeed, 5.000,  "mm/min"
	SampleInfo1, "",  ""
	SampleInfo2, "",  ""
	SampleInfo3, "",  ""
	SampleInfo4, "",  ""
	SampleInfo5, "",  ""
	SampleInfo6, "",  ""
	SampleInfo7, "",  ""
	SampleInfo8, "",  ""
	SampleInfo9, "",  ""
	SampleInfo10, "",  ""
	SampleID, "DensityGroup1TestSpeed1",  ""
	SaveFirstCycle, "1 Yes",  ""
	SaveLastCycle, "1 Yes",  ""
	SlackPreLoad, 4.448,  "N"
	SlopeSegLength, 20.000,  "%"
	StrainLimitHigh, 10,  "mm/mm"
	StrainLimitLow, -10,  "mm/mm"
	StressLimitHigh, 207,  "MPa"
	StressLimitLow, -207,  "MPa"
	TimeLimit, 10000,  "s"
	ZeroExtAfterPreLoad, "1 Yes",  ""
	BeginSpecimen
		Endpoint1, 0.205,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 0.8,  "mm/min"
		Thickness, 12.70,  "mm"
		Width, 12.25,  "mm"
		AdjGage, 21.155,  "mm"
		Area, 155.5750,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "5 of 5 Cycle(s)",  ""
		GageAdjustment, 0.615,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 45.516,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.615,  "mm"
		SlackVal, 0.615,  "mm"
		TestStatus, "5 of 5 Cycle(s)",  ""
		BeginData
			1, 0.091, 23.329, 7.000, 0.150, 0.004
			1, 0.092, 23.520, 7.100, 0.151, 0.004
			1, 0.093, 23.732, 7.200, 0.153, 0.004
			1, 0.095, 23.992, 7.300, 0.154, 0.004
			1, 0.097, 24.321, 7.400, 0.156, 0.005
			1, 0.098, 24.635, 7.500, 0.158, 0.005
			1, 0.100, 24.964, 7.600, 0.160, 0.005
			1, 0.101, 25.151, 7.700, 0.162, 0.005
			1, 0.102, 25.344, 7.800, 0.163, 0.005
			1, 0.103, 25.536, 7.900, 0.164, 0.005
			1, 0.105, 25.759, 8.000, 0.166, 0.005
			1, 0.106, 25.954, 8.100, 0.167, 0.005
			1, 0.107, 26.202, 8.200, 0.168, 0.005
			1, 0.108, 26.408, 8.300, 0.170, 0.005
			1, 0.110, 26.634, 8.400, 0.171, 0.005
			1, 0.110, 26.846, 8.500, 0.173, 0.005
			1, 0.112, 27.087, 8.600, 0.174, 0.005
			1, 0.113, 27.368, 8.700, 0.176, 0.005
			1, 0.115, 27.728, 8.800, 0.178, 0.005
			1, 0.117, 28.054, 8.900, 0.180, 0.006
			1, 0.118, 28.303, 9.000, 0.182, 0.006
			1, 0.119, 28.514, 9.100, 0.183, 0.006
			1, 0.120, 28.670, 9.200, 0.184, 0.006
			1, 0.122, 28.844, 9.300, 0.185, 0.006
			1, 0.123, 29.101, 9.400, 0.187, 0.006
			1, 0.124, 29.320, 9.500, 0.188, 0.006
			1, 0.125, 29.576, 9.600, 0.190, 0.006
			1, 0.127, 29.786, 9.700, 0.191, 0.006
			1, 0.128, 30.054, 9.800, 0.193, 0.006
			1, 0.129, 30.280, 9.900, 0.195, 0.006
			1, 0.130, 30.549, 10.000, 0.196, 0.006
			1, 0.132, 30.861, 10.100, 0.198, 0.006
			1, 0.134, 31.154, 10.200, 0.200, 0.006
			1, 0.135, 31.563, 10.300, 0.203, 0.006
			1, 0.137, 31.742, 10.400, 0.204, 0.006
			1, 0.138, 31.931, 10.500, 0.205, 0.007
			1, 0.139, 32.166, 10.600, 0.207, 0.007
			1, 0.140, 32.389, 10.700, 0.208, 0.007
			1, 0.142, 32.628, 10.800, 0.210, 0.007
			1, 0.143, 32.836, 10.900, 0.211, 0.007
			1, 0.144, 33.109, 11.000, 0.213, 0.007
			1, 0.145, 33.296, 11.100, 0.214, 0.007
			1, 0.146, 33.555, 11.200, 0.216, 0.007
			1, 0.148, 33.822, 11.300, 0.217, 0.007
			1, 0.149, 34.173, 11.400, 0.220, 0.007
			1, 0.151, 34.500, 11.500, 0.222, 0.007
			1, 0.153, 34.804, 11.600, 0.224, 0.007
			1, 0.154, 35.138, 11.700, 0.226, 0.007
			1, 0.155, 35.337, 11.800, 0.227, 0.007
			1, 0.156, 35.529, 11.900, 0.228, 0.007
			1, 0.157, 35.751, 12.000, 0.230, 0.007
			1, 0.158, 36.017, 12.100, 0.232, 0.007
			1, 0.160, 36.238, 12.200, 0.233, 0.008
			1, 0.161, 36.489, 12.300, 0.235, 0.008
			1, 0.162, 36.744, 12.400, 0.236, 0.008
			1, 0.163, 36.974, 12.500, 0.238, 0.008
			1, 0.165, 37.228, 12.600, 0.239, 0.008
			1, 0.167, 37.550, 12.700, 0.241, 0.008
			1, 0.168, 37.930, 12.800, 0.244, 0.008
			1, 0.170, 38.210, 12.900, 0.246, 0.008
			1, 0.171, 38.544, 13.000, 0.248, 0.008
			1, 0.172, 38.695, 13.100, 0.249, 0.008
			1, 0.173, 38.959, 13.200, 0.250, 0.008
			1, 0.175, 39.188, 13.300, 0.252, 0.008
			1, 0.176, 39.386, 13.400, 0.253, 0.008
			1, 0.177, 39.637, 13.500, 0.255, 0.008
			1, 0.178, 39.904, 13.600, 0.256, 0.008
			1, 0.180, 40.185, 13.700, 0.258, 0.008
			1, 0.181, 40.368, 13.800, 0.259, 0.009
			1, 0.182, 40.665, 13.900, 0.261, 0.009
			1, 0.183, 40.962, 14.000, 0.263, 0.009
			1, 0.185, 41.310, 14.100, 0.266, 0.009
			1, 0.187, 41.603, 14.200, 0.267, 0.009
			1, 0.188, 41.972, 14.300, 0.270, 0.009
			1, 0.189, 42.145, 14.400, 0.271, 0.009
			1, 0.190, 42.392, 14.500, 0.272, 0.009
			1, 0.192, 42.640, 14.600, 0.274, 0.009
			1, 0.193, 42.804, 14.700, 0.275, 0.009
			1, 0.194, 43.103, 14.800, 0.277, 0.009
			1, 0.195, 43.322, 14.900, 0.278, 0.009
			1, 0.197, 43.602, 15.000, 0.280, 0.009
			1, 0.198, 43.840, 15.100, 0.282, 0.009
			1, 0.199, 44.051, 15.200, 0.283, 0.009
			1, 0.200, 44.317, 15.300, 0.285, 0.009
			1, 0.202, 44.664, 15.400, 0.287, 0.010
			1, 0.203, 45.023, 15.500, 0.289, 0.010
			1, 0.205, 45.301, 15.590, 0.291, 0.010
			1, 0.205, 45.364, 15.600, 0.292, 0.010
			1, 0.205, 45.378, 15.610, 0.292, 0.010
			1, 0.206, 45.516, 15.800, 0.293, 0.010
			1, 0.206, 45.425, 15.900, 0.292, 0.010
			1, 0.206, 45.300, 16.000, 0.291, 0.010
			1, 0.206, 45.282, 16.100, 0.291, 0.010
			1, 0.206, 45.236, 16.200, 0.291, 0.010
			1, 0.206, 45.185, 16.300, 0.290, 0.010
			1, 0.206, 45.102, 16.400, 0.290, 0.010
			1, 0.206, 45.080, 16.500, 0.290, 0.010
			1, 0.206, 45.055, 16.600, 0.290, 0.010
			1, 0.206, 44.992, 16.700, 0.289, 0.010
			1, 0.206, 44.972, 16.800, 0.289, 0.010
			1, 0.206, 44.945, 16.900, 0.289, 0.010
			1, 0.206, 44.901, 17.000, 0.289, 0.010
			1, 0.206, 44.857, 17.100, 0.288, 0.010
			1, 0.206, 44.824, 17.200, 0.288, 0.010
			1, 0.206, 44.801, 17.300, 0.288, 0.010
			1, 0.206, 44.754, 17.400, 0.288, 0.010
			1, 0.206, 44.698, 17.500, 0.287, 0.010
			1, 0.206, 44.727, 17.600, 0.287, 0.010
			1, 0.206, 44.664, 17.700, 0.287, 0.010
			1, 0.206, 44.643, 17.800, 0.287, 0.010
			1, 0.206, 44.643, 17.900, 0.287, 0.010
			1, 0.206, 44.614, 18.000, 0.287, 0.010
			1, 0.206, 44.569, 18.100, 0.286, 0.010
			1, 0.206, 44.557, 18.200, 0.286, 0.010
			1, 0.206, 44.490, 18.300, 0.286, 0.010
			1, 0.206, 44.467, 18.400, 0.286, 0.010
			1, 0.206, 44.466, 18.500, 0.286, 0.010
			1, 0.206, 44.429, 18.600, 0.286, 0.010
			1, 0.205, 44.342, 18.700, 0.285, 0.010
			1, 0.205, 44.296, 18.800, 0.285, 0.010
			1, 0.205, 44.217, 18.900, 0.284, 0.010
			1, 0.204, 44.117, 19.000, 0.284, 0.010
			1, 0.203, 43.989, 19.100, 0.283, 0.010
			1, 0.203, 43.726, 19.200, 0.281, 0.010
			1, 0.201, 43.226, 19.300, 0.278, 0.009
			1, 0.200, 42.849, 19.400, 0.275, 0.009
			1, 0.198, 42.487, 19.500, 0.273, 0.009
			1, 0.197, 42.217, 19.600, 0.271, 0.009
			1, 0.196, 41.821, 19.700, 0.269, 0.009
			1, 0.195, 41.466, 19.800, 0.267, 0.009
			1, 0.193, 41.108, 19.900, 0.264, 0.009
			1, 0.192, 40.711, 20.000, 0.262, 0.009
			1, 0.191, 40.392, 20.100, 0.260, 0.009
			1, 0.190, 40.019, 20.200, 0.257, 0.009
			1, 0.188, 39.632, 20.300, 0.255, 0.009
			1, 0.187, 39.294, 20.400, 0.253, 0.009
			1, 0.185, 38.899, 20.500, 0.250, 0.009
			1, 0.183, 38.482, 20.600, 0.247, 0.009
			1, 0.182, 38.089, 20.700, 0.245, 0.009
			1, 0.181, 37.758, 20.800, 0.243, 0.009
			1, 0.180, 37.457, 20.900, 0.241, 0.008
			1, 0.178, 37.135, 21.000, 0.239, 0.008
			1, 0.177, 36.777, 21.100, 0.236, 0.008
			1, 0.176, 36.420, 21.200, 0.234, 0.008
			1, 0.175, 36.072, 21.300, 0.232, 0.008
			1, 0.173, 35.762, 21.400, 0.230, 0.008
			1, 0.172, 35.466, 21.500, 0.228, 0.008
			1, 0.171, 35.156, 21.600, 0.226, 0.008
			1, 0.169, 34.807, 21.700, 0.224, 0.008
			1, 0.168, 34.394, 21.800, 0.221, 0.008
			1, 0.166, 34.020, 21.900, 0.219, 0.008
			1, 0.165, 33.615, 22.000, 0.216, 0.008
			1, 0.163, 33.334, 22.100, 0.214, 0.008
			1, 0.162, 33.070, 22.200, 0.213, 0.008
			1, 0.161, 32.728, 22.300, 0.210, 0.008
			1, 0.160, 32.425, 22.400, 0.208, 0.008
			1, 0.158, 32.086, 22.500, 0.206, 0.007
			1, 0.157, 31.829, 22.600, 0.205, 0.007
			1, 0.156, 31.514, 22.700, 0.203, 0.007
			1, 0.155, 31.285, 22.800, 0.201, 0.007
			1, 0.153, 30.961, 22.900, 0.199, 0.007
			1, 0.152, 30.627, 23.000, 0.197, 0.007
			1, 0.151, 30.311, 23.100, 0.195, 0.007
			1, 0.149, 29.964, 23.200, 0.193, 0.007
			1, 0.148, 29.587, 23.300, 0.190, 0.007
			1, 0.147, 29.292, 23.400, 0.188, 0.007
			1, 0.145, 29.020, 23.500, 0.187, 0.007
			1, 0.144, 28.733, 23.600, 0.185, 0.007
			1, 0.143, 28.455, 23.700, 0.183, 0.007
			1, 0.142, 28.147, 23.800, 0.181, 0.007
			1, 0.140, 27.866, 23.900, 0.179, 0.007
			1, 0.138, 27.553, 24.000, 0.177, 0.007
			1, 0.138, 27.292, 24.100, 0.175, 0.007
			1, 0.137, 27.010, 24.200, 0.174, 0.006
			1, 0.135, 26.740, 24.300, 0.172, 0.006
			1, 0.134, 26.493, 24.400, 0.170, 0.006
			1, 0.132, 26.135, 24.500, 0.168, 0.006
			1, 0.130, 25.759, 24.600, 0.166, 0.006
			1, 0.129, 25.427, 24.700, 0.163, 0.006
			1, 0.128, 25.210, 24.800, 0.162, 0.006
			1, 0.127, 24.915, 24.900, 0.160, 0.006
			1, 0.125, 24.652, 25.000, 0.158, 0.006
			1, 0.124, 24.389, 25.100, 0.157, 0.006
			1, 0.123, 24.099, 25.200, 0.155, 0.006
			1, 0.122, 23.826, 25.300, 0.153, 0.006
			1, 0.120, 23.555, 25.400, 0.151, 0.006
			1, 0.119, 23.346, 25.500, 0.150, 0.006
			1, 0.118, 23.098, 25.600, 0.148, 0.006
			1, 0.117, 22.829, 25.700, 0.147, 0.006
			1, 0.115, 22.559, 25.800, 0.145, 0.005
			1, 0.113, 22.224, 25.900, 0.143, 0.005
			1, 0.112, 21.906, 26.000, 0.141, 0.005
			1, 0.111, 21.621, 26.100, 0.139, 0.005
			1, 0.110, 21.390, 26.200, 0.137, 0.005
			1, 0.108, 21.149, 26.300, 0.136, 0.005
			1, 0.107, 20.901, 26.400, 0.134, 0.005
			1, 0.105, 20.645, 26.500, 0.133, 0.005
			1, 0.104, 20.392, 26.600, 0.131, 0.005
			1, 0.103, 20.149, 26.700, 0.130, 0.005
			1, 0.102, 19.941, 26.800, 0.128, 0.005
			1, 0.100, 19.701, 26.900, 0.127, 0.005
			1, 0.099, 19.445, 27.000, 0.125, 0.005
			1, 0.098, 19.205, 27.100, 0.123, 0.005
			1, 0.096, 18.902, 27.200, 0.121, 0.005
			1, 0.095, 18.585, 27.300, 0.119, 0.004
			1, 0.093, 18.309, 27.400, 0.118, 0.004
			1, 0.092, 18.117, 27.500, 0.116, 0.004
			1, 0.091, 17.881, 27.600, 0.115, 0.004
			1, 0.090, 17.699, 27.700, 0.114, 0.004
			1, 0.088, 17.451, 27.800, 0.112, 0.004
			1, 0.087, 17.194, 27.900, 0.111, 0.004
			1, 0.085, 16.993, 28.000, 0.109, 0.004
			1, 0.084, 16.786, 28.100, 0.108, 0.004
			1, 0.083, 16.586, 28.200, 0.107, 0.004
			1, 0.082, 16.365, 28.300, 0.105, 0.004
			1, 0.080, 16.170, 28.400, 0.104, 0.004
			1, 0.079, 15.857, 28.500, 0.102, 0.004
			1, 0.077, 15.589, 28.600, 0.100, 0.004
			1, 0.076, 15.359, 28.700, 0.099, 0.004
			1, 0.075, 15.162, 28.800, 0.097, 0.004
			1, 0.073, 15.011, 28.900, 0.096, 0.003
			1, 0.072, 14.789, 29.000, 0.095, 0.003
			1, 0.071, 14.610, 29.100, 0.094, 0.003
			1, 0.070, 14.371, 29.200, 0.092, 0.003
			1, 0.068, 14.184, 29.300, 0.091, 0.003
			1, 0.067, 13.978, 29.400, 0.090, 0.003
			1, 0.066, 13.807, 29.500, 0.089, 0.003
			1, 0.065, 13.586, 29.600, 0.087, 0.003
			1, 0.063, 13.403, 29.700, 0.086, 0.003
			1, 0.062, 13.174, 29.800, 0.085, 0.003
			1, 0.060, 12.951, 29.900, 0.083, 0.003
			1, 0.058, 12.705, 30.000, 0.082, 0.003
			1, 0.057, 12.516, 30.100, 0.080, 0.003
			1, 0.056, 12.307, 30.200, 0.079, 0.003
			1, 0.055, 12.189, 30.300, 0.078, 0.003
			1, 0.053, 12.014, 30.400, 0.077, 0.003
			1, 0.052, 11.792, 30.500, 0.076, 0.002
			1, 0.051, 11.604, 30.600, 0.075, 0.002
			1, 0.050, 11.457, 30.700, 0.074, 0.002
			1, 0.048, 11.292, 30.800, 0.073, 0.002
			1, 0.047, 11.125, 30.900, 0.072, 0.002
			1, 0.046, 10.942, 31.000, 0.070, 0.002
			1, 0.045, 10.769, 31.100, 0.069, 0.002
			1, 0.043, 10.502, 31.200, 0.068, 0.002
			1, 0.042, 10.310, 31.300, 0.066, 0.002
			1, 0.040, 10.120, 31.400, 0.065, 0.002
			1, 0.039, 9.935, 31.500, 0.064, 0.002
			1, 0.038, 9.831, 31.600, 0.063, 0.002
			1, 0.037, 9.674, 31.700, 0.062, 0.002
			1, 0.035, 9.518, 31.800, 0.061, 0.002
			1, 0.034, 9.356, 31.900, 0.060, 0.002
			1, 0.033, 9.203, 32.000, 0.059, 0.002
			1, 0.032, 9.059, 32.100, 0.058, 0.001
			1, 0.030, 8.943, 32.200, 0.057, 0.001
			1, 0.029, 8.755, 32.300, 0.056, 0.001
			1, 0.028, 8.616, 32.400, 0.055, 0.001
			1, 0.026, 8.433, 32.500, 0.054, 0.001
			1, 0.025, 8.253, 32.600, 0.053, 0.001
			1, 0.023, 8.082, 32.700, 0.052, 0.001
			1, 0.022, 7.935, 32.800, 0.051, 0.001
			1, 0.021, 7.851, 32.900, 0.050, 0.001
			1, 0.020, 7.719, 33.000, 0.050, 0.001
			1, 0.018, 7.544, 33.100, 0.048, 0.001
			1, 0.017, 7.437, 33.200, 0.048, 0.001
			1, 0.015, 7.262, 33.300, 0.047, 0.001
			1, 0.014, 7.125, 33.400, 0.046, 0.001
			1, 0.013, 7.030, 33.500, 0.045, 0.001
			1, 0.012, 6.877, 33.600, 0.044, 0.001
			1, 0.010, 6.800, 33.700, 0.044, 0.000
			1, 0.009, 6.661, 33.800, 0.043, 0.000
			1, 0.008, 6.477, 33.900, 0.042, 0.000
			1, 0.006, 6.286, 34.000, 0.040, 0.000
			1, 0.005, 6.200, 34.100, 0.040, 0.000
			1, 0.003, 6.073, 34.200, 0.039, 0.000
			1, 0.002, 5.983, 34.300, 0.038, 0.000
			1, 0.001, 5.835, 34.400, 0.038, 0.000
			1, -0.000, 5.784, 34.480, 0.037, -0.000
			2, -0.000, 5.730, 34.510, 0.037, -0.000
			2, -0.001, 5.704, 34.580, 0.037, -0.000
			2, -0.001, 5.661, 34.700, 0.036, -0.000
			2, -0.001, 5.765, 34.800, 0.037, -0.000
			2, -0.001, 5.791, 34.900, 0.037, -0.000
			2, -0.001, 5.760, 35.000, 0.037, -0.000
			2, -0.001, 5.802, 35.100, 0.037, -0.000
			2, -0.001, 5.854, 35.200, 0.038, -0.000
			2, -0.001, 5.833, 35.300, 0.037, -0.000
			2, -0.001, 5.841, 35.400, 0.038, -0.000
			2, -0.001, 5.847, 35.500, 0.038, -0.000
			2, -0.001, 5.881, 35.600, 0.038, -0.000
			2, -0.001, 5.924, 35.700, 0.038, -0.000
			2, -0.001, 5.875, 35.800, 0.038, -0.000
			2, -0.001, 5.881, 35.900, 0.038, -0.000
			2, -0.001, 5.895, 36.000, 0.038, -0.000
			2, -0.001, 5.952, 36.100, 0.038, -0.000
			2, -0.001, 5.963, 36.200, 0.038, -0.000
			2, -0.001, 5.977, 36.300, 0.038, -0.000
			2, -0.001, 5.939, 36.400, 0.038, -0.000
			2, -0.001, 5.916, 36.500, 0.038, -0.000
			2, -0.001, 5.981, 36.600, 0.038, -0.000
			2, -0.001, 5.959, 36.700, 0.038, -0.000
			2, -0.001, 5.984, 36.800, 0.038, -0.000
			2, -0.001, 6.003, 36.900, 0.039, -0.000
			2, -0.001, 6.033, 37.000, 0.039, -0.000
			2, -0.000, 6.057, 37.100, 0.039, -0.000
			2, -0.000, 6.056, 37.200, 0.039, -0.000
			2, -0.000, 6.093, 37.300, 0.039, -0.000
			2, 0.000, 6.086, 37.400, 0.039, 0.000
			2, 0.000, 6.119, 37.500, 0.039, 0.000
			2, 0.000, 6.115, 37.600, 0.039, 0.000
			2, 0.001, 6.224, 37.700, 0.040, 0.000
			2, 0.002, 6.247, 37.800, 0.040, 0.000
			2, 0.002, 6.341, 37.900, 0.041, 0.000
			2, 0.003, 6.515, 38.000, 0.042, 0.000
			2, 0.005, 6.695, 38.100, 0.043, 0.000
			2, 0.006, 6.828, 38.200, 0.044, 0.000
			2, 0.007, 6.962, 38.300, 0.045, 0.000
			2, 0.008, 7.168, 38.400, 0.046, 0.000
			2, 0.010, 7.396, 38.500, 0.048, 0.000
			2, 0.012, 7.648, 38.600, 0.049, 0.001
			2, 0.013, 7.819, 38.700, 0.050, 0.001
			2, 0.015, 8.016, 38.800, 0.052, 0.001
			2, 0.015, 8.152, 38.900, 0.052, 0.001
			2, 0.017, 8.352, 39.000, 0.054, 0.001
			2, 0.018, 8.509, 39.100, 0.055, 0.001
			2, 0.019, 8.668, 39.200, 0.056, 0.001
			2, 0.020, 8.844, 39.300, 0.057, 0.001
			2, 0.022, 9.010, 39.400, 0.058, 0.001
			2, 0.023, 9.180, 39.500, 0.059, 0.001
			2, 0.024, 9.385, 39.600, 0.060, 0.001
			2, 0.025, 9.547, 39.700, 0.061, 0.001
			2, 0.027, 9.779, 39.800, 0.063, 0.001
			2, 0.028, 10.027, 39.900, 0.064, 0.001
			2, 0.030, 10.256, 40.000, 0.066, 0.001
